"полиэстер 100%, плотность 380 г/м²; твил",полиэстер
"полиэстер 100%, плотность 380 г/м²; флис, (микрофлис)",полиэстер
"полиэстер 100%, плотность 380 г/м2; флис, микрофлис",флис
"полиэстер 100%, плотность 380 г/м²; флис, микрофлис",полиэстер
"полиэстер 100%, плотность 380T, подкладка полиэсте",полиэстер
"полиэстер 100%, плотность 50D; софтшелл",полиэстер
"полиэстер 100%, плотность 70 г/м2; водоотталкивающая пропитка",полиэстер
"полиэстер 100%, плотность 70 г/м²; водоотталкивающая пропитка",полиэстер
"полиэстер 100%, плотность 80 г/м2",полиэстер
"полиэстер 100%, плотность 80 г/м²",полиэстер
"полиэстер 100%, плотность 90 г/м2; креп",полиэстер
"полиэстер 100%, плотность 90 г/м²; креп",полиэстер
"полиэстер 100%, рипстоп",полиэстер
"полиэстер 100%, рипстоп, утеплитель 240 г/м2",полиэстер
"полиэстер 100%, рипстоп, утеплитель 240 г/м²",полиэстер
"полиэстер 100%, таслан 184T; подкладка - полиамид, сетка",полиэстер
"полиэстер 100%, флис",флис
полиэстер 100%; подкладка - стеганый полиэстер,полиэстер
полиэстер 100%; софтшелл; подкладка - флис,полиэстер
полиэстер 100%; флис,флис
"полиэстер 100%; флис, вязаный",флис
полиэстер 190T,полиэстер
"полиэстер 20%, 2; хлопок, 75%; лайкра, 5%; плотность 240  г/м2; футер",хлопок/полиэстер
"полиэстер 20%, 2; хлопок, 75%; лайкра, 5%; плотность 240  г/м²; футер",хлопок/полиэстер
"полиэстер 30%, переработанный; хлопок 70%",хлопок/полиэстер
полиэстер 30%; хлопок 70%,хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 260 г/м2; мольтон",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 260 г/м²; мольтон",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 280 г/м2",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 280 г/м²",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 280 г/м2; мольтон",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 280 г/м²; мольтон",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 290 г/м2",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 290 г/м²",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 290 г/м2; мольтон",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 290 г/м²; мольтон",хлопок/полиэстер
"полиэстер 50%; хлопок 50%, плотность 320 г/м²; мольтон",хлопок/полиэстер
"полиэстер 55%; хлопок 45%, плотность 360 г/м2",хлопок/полиэстер
"полиэстер 55%; хлопок 45%, плотность 360 г/м²",хлопок/полиэстер
"полиэстер 65%, хлопок 35%, 190 г/м2",хлопок/полиэстер
полиэстер 65%; хлопок 35%,хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 105 г/м²; поплин",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 150 г/м2; джерси",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 150 г/м²; джерси",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 200 г/м2",хлопок/полиэстер
"полиэстер 65%; хлопок 35%, плотность 200 г/м²",хлопок/полиэстер
